state,year,annual_median_wage,poverty_rate,opioid_overdose,Median_Rent,overall_homeless_per_capita,drug_overdose_deaths_per_capita,total_vacant_units_per_capita,totalsubsidized_units_per_capita
North Carolina,2013,32150,0.1803,834,684,0.0012,0.0001,0.0647,0.0134
North Dakota,2013,35640,0.1195,11,611,0.0029,0,0.0568,0.019
Ohio,2013,33730,0.1558,1630,666,0.0011,0.0002,0.0483,0.0187
Oklahoma,2013,30730,0.1673,511,619,0.0011,0.0002,0.061,0.0131
Oregon,2013,35850,0.165,301,732,0.0035,0.0001,0.0409,0.0129
Pennsylvania,2013,35320,0.1379,958,745,0.0012,0.0002,0.049,0.0171
Rhode Island,2013,37500,0.1407,190,950,0.0013,0.0002,0.0524,0.0341
South Carolina,2013,30280,0.1862,247,702,0.0014,0.0001,0.0764,0.0127
South Dakota,2013,29420,0.1375,34,634,0.0013,0.0001,0.0461,0.0162
Tennessee,2013,30990,0.1814,767,639,0.0015,0.0002,0.054,0.0152
Texas,2013,32880,0.1753,1053,715,0.0011,0.0001,0.0433,0.0104
Utah,2013,33280,0.1281,432,713,0.0011,0.0002,0.0368,0.0061
Vermont,2013,35380,0.1284,70,958,0.0023,0.0001,0.1129,0.0203
Virginia,2013,36960,0.1177,640,879,0.0009,0.0001,0.0432,0.012
Washington,2013,40910,0.1396,640,805,0.0026,0.0001,0.0407,0.0122
West Virginia,2013,29040,0.181,490,621,0.0012,0.0003,0.0759,0.018
Wisconsin,2013,33950,0.1361,599,688,0.0011,0.0001,0.06,0.0123
Wyoming,2013,36990,0.1056,48,746,0.0016,0.0002,0.0712,0.0099
Alabama,2014,30850,0.1945,270,624,0.0009,0.0001,0.0758,0.0193
Alaska,2014,45200,0.1253,76,960,0.0024,0.0002,0.08,0.0105
Arizona,2014,34230,0.1803,589,773,0.0016,0.0002,0.0714,0.0061
Arkansas,2014,29140,0.1884,173,598,0.001,0.0001,0.0707,0.0172
California,2014,39190,0.164,2024,1097,0.003,0.0001,0.0296,0.0125
Colorado,2014,38020,0.1222,517,808,0.0019,0.0002,0.0442,0.0114
Connecticut,2014,42990,0.1022,525,1161,0.0012,0.0002,0.0383,0.0228
Delaware,2014,37490,0.1297,124,960,0.001,0.0002,0.0726,0.0139
Florida,2014,31060,0.1658,1399,837,0.0021,0.0001,0.0915,0.0098
Georgia,2014,32840,0.1863,710,710,0.0016,0.0001,0.056,0.0135
Hawaii,2014,37450,0.1159,59,1253,0.0049,0.0001,0.0561,0.0162
Idaho,2014,31060,0.1491,78,661,0.0013,0.0001,0.0573,0.0076
Illinois,2014,36590,0.1432,1205,708,0.001,0.0001,0.0415,0.0178
Indiana,2014,32500,0.1534,462,680,0.0009,0.0002,0.0496,0.0136
Iowa,2014,33100,0.1228,158,623,0.001,0.0001,0.0388,0.0129
Kansas,2014,32930,0.1364,173,660,0.001,0.0001,0.0481,0.0121
Kentucky,2014,31830,0.1865,729,615,0.0012,0.0002,0.054,0.019
Louisiana,2014,31620,0.1963,260,727,0.001,0.0002,0.0631,0.0207
Maine,2014,33890,0.1461,171,747,0.002,0.0002,0.1337,0.0199
Maryland,2014,40830,0.0994,921,1118,0.0013,0.0002,0.0431,0.0168
Massachusetts,2014,44670,0.1159,1140,1135,0.0031,0.0002,0.0413,0.0284
Michigan,2014,34740,0.1603,1052,691,0.0012,0.0002,0.071,0.0148
Minnesota,2014,38070,0.1112,318,709,0.0015,0.0001,0.047,0.0164
Mississippi,2014,28630,0.2221,115,666,0.0007,0.0001,0.0665,0.0182
Missouri,2014,32790,0.1538,696,646,0.0012,0.0002,0.0629,0.015
Montana,2014,31520,0.1614,53,654,0.0017,0.0001,0.0788,0.0136
Nebraska,2014,32570,0.1264,56,609,0.0016,0.0001,0.0395,0.0147
Nevada,2014,33550,0.1487,375,824,0.003,0.0002,0.063,0.008
New Hampshire,2014,36420,0.0934,297,966,0.001,0.0003,0.0751,0.0159
New Jersey,2014,40680,0.1112,728,1257,0.0013,0.0001,0.0448,0.0191
New Mexico,2014,31810,0.2135,402,722,0.0013,0.0003,0.0727,0.0123
New York,2014,40870,0.1556,1739,919,0.0041,0.0001,0.0463,0.0306
North Carolina,2014,32510,0.1736,967,700,0.0012,0.0001,0.0666,0.0127
North Dakota,2014,36920,0.1205,31,675,0.0017,0.0001,0.0612,0.0181
Ohio,2014,34250,0.1587,2106,668,0.001,0.0002,0.0478,0.0193
Oklahoma,2014,31550,0.1648,502,628,0.0011,0.0002,0.0618,0.0137
Oregon,2014,36400,0.1608,340,743,0.0031,0.0001,0.0417,0.0133
Pennsylvania,2014,35640,0.1354,1092,755,0.0012,0.0002,0.0504,0.0173
Rhode Island,2014,38330,0.1425,205,932,0.0011,0.0002,0.0502,0.0356
South Carolina,2014,30660,0.1807,515,704,0.001,0.0001,0.0749,0.013
South Dakota,2014,29880,0.1474,33,624,0.001,0.0001,0.0493,0.0163
Tennessee,2014,31250,0.1845,863,637,0.0014,0.0002,0.055,0.0161
Texas,2014,33650,0.1722,1151,714,0.0011,0.0001,0.0426,0.0103
Utah,2014,33690,0.1185,455,720,0.001,0.0002,0.0355,0.0063
Vermont,2014,36170,0.1017,64,888,0.0025,0.0001,0.1096,0.0198
Virginia,2014,37550,0.1193,758,867,0.0008,0.0001,0.0436,0.0125
Washington,2014,41090,0.1329,673,778,0.0026,0.0001,0.0402,0.0123
